Month,SKU,Actual_Demand,Forecast_Demand,MAPE_Pct,Seasonal_Factor,Trend_Base
Feb-2024,Wheat_330ml,18195,18753,3.07,1.13,16596
Mar-2024,Wheat_330ml,25795,26285,1.9,1.58,16636
Apr-2024,Wheat_330ml,21502,22346,3.93,1.34,16676
May-2024,Wheat_330ml,14746,15379,4.29,0.92,16716
Jun-2024,Wheat_330ml,15765,16924,7.35,1.01,16756
Jul-2024,Wheat_330ml,10455,10749,2.81,0.64,16796
Aug-2024,Wheat_330ml,12152,12964,6.68,0.77,16836
Sep-2024,Wheat_330ml,14726,15695,6.58,0.93,16876
Oct-2024,Wheat_330ml,24362,26052,6.94,1.54,16916
Nov-2024,Wheat_330ml,23278,24418,4.9,1.44,16957
Dec-2024,Wheat_330ml,21925,22776,3.88,1.34,16997
Jan-2023,Stout_650ml,10053,10397,3.42,1.09,9538
Feb-2023,Stout_650ml,10274,10136,1.34,1.06,9562
Mar-2023,Stout_650ml,15253,15338,0.56,1.6,9586
Apr-2023,Stout_650ml,15163,15472,2.04,1.61,9610
May-2023,Stout_650ml,10453,10597,1.38,1.1,9633
Jun-2023,Stout_650ml,9279,9464,1.99,0.98,9657
Jul-2023,Stout_650ml,6643,6873,3.46,0.71,9681
Aug-2023,Stout_650ml,7708,7764,0.73,0.8,9705
Sep-2023,Stout_650ml,11124,11383,2.33,1.17,9729
Oct-2023,Stout_650ml,12297,12776,3.9,1.31,9752
Nov-2023,Stout_650ml,13638,13882,1.79,1.42,9776
Dec-2023,Stout_650ml,13728,13818,0.66,1.41,9800
Jan-2024,Stout_650ml,10714,10904,1.77,1.11,9824
Feb-2024,Stout_650ml,10669,11325,6.15,1.15,9848
Mar-2024,Stout_650ml,16022,16683,4.13,1.69,9871
Apr-2024,Stout_650ml,14540,14942,2.76,1.51,9895
May-2024,Stout_650ml,9834,10415,5.91,1.05,9919
Jun-2024,Stout_650ml,11356,11534,1.57,1.16,9943
Jul-2024,Stout_650ml,7514,7375,1.85,0.74,9966
Aug-2024,Stout_650ml,5591,6394,14.36,0.64,9990
Sep-2024,Stout_650ml,10714,11516,7.49,1.15,10014
Oct-2024,Stout_650ml,15698,16161,2.95,1.61,10038
Nov-2024,Stout_650ml,15792,16703,5.77,1.66,10062
Dec-2024,Stout_650ml,14363,14725,2.52,1.46,10085
Jan-2023,IPA_330ml,16262,15917,2.12,0.97,16409
Feb-2023,IPA_330ml,14938,15299,2.42,0.93,16450
Mar-2023,IPA_330ml,23545,23748,0.86,1.44,16491
Apr-2023,IPA_330ml,23941,24633,2.89,1.49,16532
May-2023,IPA_330ml,17617,18230,3.48,1.1,16573
Jun-2023,IPA_330ml,15227,15617,2.56,0.94,16614
Jul-2023,IPA_330ml,12413,12658,1.97,0.76,16655
Aug-2023,IPA_330ml,11355,11854,4.39,0.71,16696
Sep-2023,IPA_330ml,18625,18913,1.55,1.13,16737
Oct-2023,IPA_330ml,27245,28187,3.46,1.68,16778
Nov-2023,IPA_330ml,26037,26406,1.42,1.57,16819
Dec-2023,IPA_330ml,26940,27987,3.89,1.66,16860
Jan-2024,IPA_330ml,18164,18760,3.28,1.11,16900
Feb-2024,IPA_330ml,15246,15925,4.45,0.94,16941
Mar-2024,IPA_330ml,27478,28531,3.83,1.68,16982
Apr-2024,IPA_330ml,27343,28599,4.59,1.68,17023
May-2024,IPA_330ml,16302,17405,6.77,1.02,17064
Jun-2024,IPA_330ml,15653,16592,6.0,0.97,17105
Jul-2024,IPA_330ml,12688,13031,2.7,0.76,17146
Aug-2024,IPA_330ml,12256,13062,6.58,0.76,17187
Sep-2024,IPA_330ml,15269,16022,4.93,0.93,17228
Oct-2024,IPA_330ml,23571,24695,4.77,1.43,17269
Nov-2024,IPA_330ml,23454,25099,7.01,1.45,17310
Dec-2024,IPA_330ml,25192,26894,6.76,1.55,17351
Jan-2023,Premium_Lager_330ml,6907,7277,5.36,0.97,7502
Feb-2023,Premium_Lager_330ml,8422,7972,5.34,1.06,7521
Mar-2023,Premium_Lager_330ml,10916,10933,0.16,1.45,7540
Apr-2023,Premium_Lager_330ml,10097,9902,1.93,1.31,7558
May-2023,Premium_Lager_330ml,8328,8335,0.08,1.1,7577
Jun-2023,Premium_Lager_330ml,8887,8659,2.57,1.14,7596
Jul-2023,Premium_Lager_330ml,5427,5254,3.19,0.69,7614
Aug-2023,Premium_Lager_330ml,5965,5725,4.02,0.75,7633
Sep-2023,Premium_Lager_330ml,8308,8035,3.29,1.05,7652
Oct-2023,Premium_Lager_330ml,11395,11506,0.97,1.5,7671
Nov-2023,Premium_Lager_330ml,10471,11227,7.22,1.46,7689
Dec-2023,Premium_Lager_330ml,10597,10483,1.08,1.36,7708
Jan-2024,Premium_Lager_330ml,9047,9040,0.08,1.17,7727
Feb-2024,Premium_Lager_330ml,8899,9062,1.83,1.17,7745
Mar-2024,Premium_Lager_330ml,11970,12112,1.19,1.56,7764
Apr-2024,Premium_Lager_330ml,9998,10741,7.43,1.38,7783
May-2024,Premium_Lager_330ml,7518,7568,0.67,0.97,7802
Jun-2024,Premium_Lager_330ml,8687,8759,0.83,1.12,7820
Jul-2024,Premium_Lager_330ml,6095,6585,8.04,0.84,7839
Aug-2024,Premium_Lager_330ml,5120,5579,8.96,0.71,7858
Sep-2024,Premium_Lager_330ml,6414,7167,11.74,0.91,7876
Oct-2024,Premium_Lager_330ml,10803,11053,2.31,1.4,7895
Nov-2024,Premium_Lager_330ml,12024,12188,1.36,1.54,7914
Dec-2024,Premium_Lager_330ml,11309,11740,3.81,1.48,7933
Jan-2023,Strong_Beer_500ml,6445,6457,0.19,0.98,6589
Feb-2023,Strong_Beer_500ml,7230,7266,0.5,1.1,6605
Mar-2023,Strong_Beer_500ml,10776,10529,2.29,1.59,6622
Apr-2023,Strong_Beer_500ml,10464,10821,3.41,1.63,6638
May-2023,Strong_Beer_500ml,7448,7919,6.32,1.19,6655
Jun-2023,Strong_Beer_500ml,7263,7138,1.72,1.07,6671
Jul-2023,Strong_Beer_500ml,4317,4547,5.33,0.68,6688
Aug-2023,Strong_Beer_500ml,5617,5698,1.44,0.85,6704
Sep-2023,Strong_Beer_500ml,7307,7460,2.09,1.11,6720
Oct-2023,Strong_Beer_500ml,10923,11318,3.62,1.68,6737
Nov-2023,Strong_Beer_500ml,10363,10738,3.62,1.59,6753
Dec-2023,Strong_Beer_500ml,8582,8868,3.33,1.31,6770
Jan-2024,Strong_Beer_500ml,6104,6175,1.16,0.91,6786
Feb-2024,Strong_Beer_500ml,7161,7823,9.24,1.15,6803
Mar-2024,Strong_Beer_500ml,8581,8933,4.1,1.31,6819
Apr-2024,Strong_Beer_500ml,9659,9843,1.9,1.44,6835
May-2024,Strong_Beer_500ml,6347,6235,1.76,0.91,6852
Jun-2024,Strong_Beer_500ml,5588,6250,11.85,0.91,6868
Jul-2024,Strong_Beer_500ml,4202,4888,16.33,0.71,6885
Aug-2024,Strong_Beer_500ml,5492,5797,5.55,0.84,6901
Sep-2024,Strong_Beer_500ml,7194,7402,2.89,1.07,6918
Oct-2024,Strong_Beer_500ml,8801,9777,11.09,1.41,6934
Nov-2024,Strong_Beer_500ml,9801,10426,6.38,1.5,6950
Dec-2024,Strong_Beer_500ml,10067,11008,9.35,1.58,6967
Jan-2023,Light_Beer_330ml,13726,13564,1.18,0.99,13701
Feb-2023,Light_Beer_330ml,13135,12773,2.76,0.93,13735
Mar-2023,Light_Beer_330ml,21205,21755,2.59,1.58,13769
Apr-2023,Light_Beer_330ml,21740,22085,1.59,1.6,13803
May-2023,Light_Beer_330ml,14922,14806,0.78,1.07,13837
Jun-2023,Light_Beer_330ml,13318,13455,1.03,0.97,13872
Jul-2023,Light_Beer_330ml,11241,10985,2.28,0.79,13906
Aug-2023,Light_Beer_330ml,10205,10455,2.45,0.75,13940
Sep-2023,Light_Beer_330ml,13695,14253,4.07,1.02,13974
Oct-2023,Light_Beer_330ml,19382,20172,4.08,1.44,14008
Nov-2023,Light_Beer_330ml,22138,22749,2.76,1.62,14042
Dec-2023,Light_Beer_330ml,23109,23930,3.55,1.7,14077
Jan-2024,Light_Beer_330ml,16167,16368,1.24,1.16,14111
Feb-2024,Light_Beer_330ml,13842,14286,3.21,1.01,14145
Mar-2024,Light_Beer_330ml,20593,21836,6.04,1.54,14179
Apr-2024,Light_Beer_330ml,20465,21320,4.18,1.5,14213
May-2024,Light_Beer_330ml,12892,13392,3.88,0.94,14247
Jun-2024,Light_Beer_330ml,14263,15138,6.13,1.06,14282
Jul-2024,Light_Beer_330ml,11286,11309,0.2,0.79,14316
Aug-2024,Light_Beer_330ml,9203,9327,1.35,0.65,14350
Sep-2024,Light_Beer_330ml,13276,14384,8.35,1.0,14384
Oct-2024,Light_Beer_330ml,21993,23069,4.89,1.6,14418
Nov-2024,Light_Beer_330ml,17545,18788,7.08,1.3,14452
Dec-2024,Light_Beer_330ml,18978,19992,5.34,1.38,14487
