Vehicle_ID,Warehouse,Region,Vehicle_Type,Capacity_Cases,Age_Years,Trips_Per_Month,KM_Per_Month,Avg_Load_Cases,Load_Utilization_Pct,Utilization_Days_PM,Idle_Days_PM,Maintenance_Cost_INR_PM,Breakdowns_PM,Fuel_Efficiency_KMPL,CO2_Emission_KG_PM,Status
VH-0017,WH-DEL-01,North India,20-ft Truck,500,8,20,4680,350,70.0,19,11,28988,1,6.7,1872.0,Active
VH-0018,WH-DEL-01,North India,20-ft Truck,500,9,21,6363,430,86.0,22,8,17784,1,4.8,3552.7,Active
VH-0019,WH-DEL-01,North India,Mini Truck (14-ft),250,6,19,4294,168,67.2,25,5,14021,2,7.3,1576.4,In Repair
VH-0020,WH-DEL-01,North India,Mini Truck (14-ft),250,2,16,3600,217,86.8,27,3,6996,1,7.7,1253.0,Active
VH-0021,WH-DEL-01,North India,Mini Truck (14-ft),250,5,14,2716,157,62.8,26,4,13060,0,8.6,846.4,Active
VH-0022,WH-DEL-01,North India,Mini Truck (14-ft),250,7,25,4725,236,94.4,24,6,27642,1,5.7,2221.6,Active
VH-0023,WH-DEL-01,North India,Mini Truck (14-ft),250,9,8,1944,149,59.6,24,6,22155,1,8.9,585.4,Active
VH-0024,WH-DEL-01,North India,Mini Truck (14-ft),250,8,15,4455,186,74.4,25,5,31626,3,5.5,2170.8,In Repair
VH-0025,WH-DEL-01,North India,Mini Truck (14-ft),250,1,8,760,160,64.0,23,7,2911,1,9.1,223.8,Active
VH-0026,WH-DEL-01,North India,Mini Truck (14-ft),250,9,12,2796,182,72.8,23,7,14480,3,5.9,1270.0,In Repair
VH-0027,WH-DEL-01,North India,Mini Truck (14-ft),250,8,18,4230,223,89.2,26,4,21484,2,5.9,1921.4,In Repair
VH-0028,WH-DEL-01,North India,Mini Truck (14-ft),250,7,28,5488,224,89.6,18,12,27204,1,5.4,2723.7,Active
VH-0029,WH-DEL-01,North India,Mini Truck (14-ft),250,6,24,5136,144,57.6,22,8,10846,3,5.5,2502.6,In Repair
VH-0030,WH-DEL-01,North India,Mini Truck (14-ft),250,1,23,2093,162,64.8,26,4,3665,0,9.1,616.4,Active
VH-0031,WH-DEL-01,North India,Mini Truck (14-ft),250,5,17,2465,216,86.4,25,5,11274,0,7.0,943.7,Active
VH-0032,WH-DEL-01,North India,Mini Truck (14-ft),250,4,24,2592,206,82.4,19,11,8320,1,9.4,739.0,Active
VH-0033,WH-DEL-01,North India,Mini Truck (14-ft),250,8,21,6321,180,72.0,26,4,14715,0,9.3,1821.5,Active
VH-0034,WH-DEL-01,North India,Tata Ace,120,2,10,2230,67,55.8,25,5,4998,1,4.6,1299.2,Active
VH-0035,WH-DEL-01,North India,Tata Ace,120,6,15,1785,99,82.5,23,7,11562,1,6.2,771.6,Active
VH-0036,WH-DEL-01,North India,Tata Ace,120,9,16,4352,104,86.7,20,10,15752,3,7.7,1514.7,In Repair
VH-0037,WH-DEL-01,North India,Tata Ace,120,8,18,2826,89,74.2,18,12,16624,1,5.5,1377.0,Active
VH-0038,WH-DEL-01,North India,Tata Ace,120,3,9,2007,107,89.2,23,7,5734,0,9.2,584.6,Active
VH-0039,WH-DEL-01,North India,Tata Ace,120,9,24,3576,111,92.5,19,11,19442,3,4.8,1996.6,In Repair
VH-0040,WH-DEL-01,North India,Tata Ace,120,8,20,6840,78,65.0,24,6,18230,3,6.1,3005.1,In Repair
VH-0041,WH-DEL-01,North India,Tata Ace,120,5,28,8400,75,62.5,19,11,10501,0,7.4,3042.2,Active
VH-0042,WH-DEL-01,North India,Tata Ace,120,9,8,2328,66,55.0,20,10,28847,2,5.7,1094.6,In Repair
VH-0043,WH-DEL-01,North India,Tata Ace,120,4,16,5024,75,62.5,24,6,11551,0,7.3,1844.4,Active
VH-0044,WH-DEL-01,North India,Tata Ace,120,1,12,3360,76,63.3,21,9,2825,1,9.4,958.0,Active
VH-0045,WH-DEL-01,North India,Tata Ace,120,5,17,1717,67,55.8,20,10,7958,0,8.2,561.2,Active
VH-0046,WH-DEL-01,North India,Tempo,80,5,10,2360,64,80.0,24,6,12970,1,7.6,832.2,Active
VH-0047,WH-DEL-01,North India,Tempo,80,6,9,1746,50,62.5,23,7,14260,1,5.6,835.6,Active
VH-0048,WH-DEL-01,North India,Tempo,80,9,20,3340,68,85.0,24,6,24317,1,8.8,1017.2,Active
VH-0049,WH-DEL-01,North India,Tempo,80,2,21,1869,55,68.8,28,2,6621,1,5.1,982.1,Active
VH-0050,WH-DEL-01,North India,Tempo,80,2,24,5784,57,71.2,22,8,4902,0,9.3,1666.8,Active
VH-0051,WH-DEL-01,North India,Tempo,80,8,14,3164,76,95.0,21,9,14470,3,7.2,1177.7,In Repair
VH-0052,WH-DEL-01,North India,Tempo,80,7,9,2520,45,56.2,19,11,11177,2,5.0,1350.7,In Repair
VH-0053,WH-DEL-01,North India,Tempo,80,5,11,2629,47,58.8,23,7,15898,0,5.5,1281.0,Active
VH-0054,WH-MUM-01,West India,32-ft Truck,800,1,26,7488,752,94.0,18,12,1852,1,7.8,2572.8,Active
VH-0055,WH-MUM-01,West India,32-ft Truck,800,7,27,6453,741,92.6,27,3,16894,2,9.4,1839.8,In Repair
VH-0056,WH-MUM-01,West India,32-ft Truck,800,5,26,7514,473,59.1,20,10,17890,0,7.7,2615.3,Active
VH-0057,WH-MUM-01,West India,32-ft Truck,800,5,24,6744,649,81.1,24,6,19590,0,7.8,2317.2,Active
VH-0058,WH-MUM-01,West India,32-ft Truck,800,8,24,7848,605,75.6,23,7,23920,0,5.0,4206.5,Active
VH-0059,WH-MUM-01,West India,32-ft Truck,800,8,18,5814,510,63.7,28,2,31128,2,6.3,2473.3,In Repair
VH-0060,WH-MUM-01,West India,32-ft Truck,800,4,22,5192,711,88.9,21,9,13527,1,7.0,1987.8,Active
VH-0061,WH-MUM-01,West India,32-ft Truck,800,7,8,1808,607,75.9,25,5,16379,2,4.9,988.9,In Repair
VH-0062,WH-MUM-01,West India,20-ft Truck,500,3,18,5022,470,94.0,23,7,10660,0,6.4,2103.0,Active
VH-0063,WH-MUM-01,West India,20-ft Truck,500,7,23,2392,443,88.6,26,4,10529,2,6.6,971.3,In Repair
VH-0064,WH-MUM-01,West India,20-ft Truck,500,8,17,2193,418,83.6,19,11,17523,1,6.2,947.9,Active
VH-0065,WH-MUM-01,West India,20-ft Truck,500,8,16,4400,417,83.4,22,8,14903,1,5.6,2105.7,Active
VH-0066,WH-MUM-01,West India,20-ft Truck,500,1,9,1755,469,93.8,19,11,2891,0,6.3,746.6,Active
VH-0067,WH-MUM-01,West India,20-ft Truck,500,4,9,1458,314,62.8,26,4,9904,0,4.5,868.3,Active
VH-0068,WH-MUM-01,West India,20-ft Truck,500,4,15,3375,388,77.6,19,11,9521,1,5.3,1706.6,Active
VH-0069,WH-MUM-01,West India,20-ft Truck,500,1,16,5584,446,89.2,22,8,3900,0,4.9,3054.1,Active
VH-0070,WH-MUM-01,West India,20-ft Truck,500,2,28,6356,339,67.8,24,6,4525,0,6.3,2703.8,Active
VH-0071,WH-MUM-01,West India,20-ft Truck,500,2,12,2220,324,64.8,19,11,6055,1,6.2,959.6,Active
VH-0072,WH-MUM-01,West India,Mini Truck (14-ft),250,7,13,2132,216,86.4,25,5,22804,0,7.2,793.6,Active
VH-0073,WH-MUM-01,West India,Mini Truck (14-ft),250,1,28,6552,236,94.4,28,2,1984,0,6.3,2787.2,Active
VH-0074,WH-MUM-01,West India,Mini Truck (14-ft),250,3,25,8550,228,91.2,22,8,6381,0,9.1,2518.0,Active
VH-0075,WH-MUM-01,West India,Mini Truck (14-ft),250,5,12,2664,149,59.6,27,3,16360,1,8.7,820.6,Active
VH-0076,WH-MUM-01,West India,Mini Truck (14-ft),250,7,19,5624,212,84.8,22,8,15046,0,7.6,1983.2,Active
VH-0077,WH-MUM-01,West India,Mini Truck (14-ft),250,2,17,4080,156,62.4,22,8,3373,1,8.1,1349.9,Active
VH-0078,WH-MUM-01,West India,Mini Truck (14-ft),250,3,24,6000,203,81.2,27,3,9894,1,4.6,3495.7,Active
VH-0079,WH-MUM-01,West India,Mini Truck (14-ft),250,2,13,1872,151,60.4,23,7,3010,0,7.5,668.9,Active
VH-0080,WH-MUM-01,West India,Mini Truck (14-ft),250,9,9,1386,193,77.2,22,8,17619,0,7.9,470.2,Active
VH-0081,WH-MUM-01,West India,Mini Truck (14-ft),250,7,9,999,217,86.8,20,10,10809,2,9.0,297.5,In Repair
VH-0082,WH-MUM-01,West India,Mini Truck (14-ft),250,9,22,6248,234,93.6,19,11,27276,2,7.1,2358.4,In Repair
VH-0083,WH-MUM-01,West India,Mini Truck (14-ft),250,2,26,2444,210,84.0,26,4,6513,1,9.5,689.5,Active
VH-0084,WH-MUM-01,West India,Mini Truck (14-ft),250,5,14,4074,172,68.8,24,6,15034,0,6.1,1789.9,Active
VH-0085,WH-MUM-01,West India,Mini Truck (14-ft),250,3,20,3120,162,64.8,24,6,7211,1,7.9,1058.4,Active
VH-0086,WH-MUM-01,West India,Mini Truck (14-ft),250,5,10,2660,211,84.4,24,6,19636,1,7.6,938.0,Active
VH-0087,WH-MUM-01,West India,Tata Ace,120,5,19,1710,109,90.8,27,3,8095,1,6.8,673.9,Active
VH-0088,WH-MUM-01,West India,Tata Ace,120,4,28,8848,80,66.7,27,3,8525,0,7.1,3339.8,Active
VH-0089,WH-MUM-01,West India,Tata Ace,120,3,23,5106,87,72.5,18,12,4920,1,7.2,1900.6,Active
VH-0090,WH-MUM-01,West India,Tata Ace,120,9,14,4438,96,80.0,28,2,32335,1,7.4,1607.3,Active
VH-0091,WH-MUM-01,West India,Tata Ace,120,8,11,3454,89,74.2,18,12,30457,3,7.6,1218.0,In Repair
VH-0092,WH-MUM-01,West India,Tata Ace,120,1,21,2814,110,91.7,21,9,1928,0,6.0,1256.9,Active
VH-0093,WH-MUM-01,West India,Tata Ace,120,5,16,5408,105,87.5,28,2,9912,0,9.2,1575.4,Active
VH-0094,WH-MUM-01,West India,Tata Ace,120,7,27,6075,99,82.5,27,3,20005,3,5.1,3192.4,In Repair
VH-0095,WH-MUM-01,West India,Tata Ace,120,1,20,6480,96,80.0,24,6,2675,0,8.1,2144.0,Active
VH-0096,WH-MUM-01,West India,Tata Ace,120,1,13,4459,82,68.3,27,3,3352,0,5.2,2298.1,Active
VH-0097,WH-MUM-01,West India,Tata Ace,120,1,22,7326,82,68.3,28,2,1551,1,8.1,2423.9,Active
VH-0098,WH-MUM-01,West India,Tata Ace,120,1,24,2256,70,58.3,22,8,3514,0,7.0,863.7,Active
VH-0099,WH-MUM-01,West India,Tempo,80,3,21,5586,54,67.5,25,5,6642,0,7.2,2079.2,Active
VH-0100,WH-MUM-01,West India,Tempo,80,6,12,3924,57,71.2,27,3,17861,0,4.7,2237.5,Active
VH-0101,WH-MUM-01,West India,Tempo,80,3,9,990,67,83.8,26,4,6219,0,6.3,421.1,Active
VH-0102,WH-MUM-01,West India,Tempo,80,2,19,6346,49,61.3,20,10,5786,0,5.6,3037.0,Active
VH-0103,WH-MUM-01,West India,Tempo,80,6,24,2040,58,72.5,23,7,22266,2,8.4,650.9,In Repair
VH-0104,WH-MUM-01,West India,Tempo,80,5,17,3315,70,87.5,25,5,17776,1,8.3,1070.4,Active
VH-0105,WH-MUM-01,West India,Tempo,80,2,22,1980,54,67.5,18,12,5845,1,5.8,914.9,Active
VH-0106,WH-MUM-01,West India,Tempo,80,8,20,3540,61,76.2,28,2,27249,0,6.0,1581.2,Active
VH-0107,WH-BLR-01,South India,32-ft Truck,800,3,27,4509,676,84.5,23,7,8007,0,5.7,2120.0,Active
VH-0108,WH-BLR-01,South India,32-ft Truck,800,5,24,7968,504,63.0,24,6,14769,0,8.1,2636.3,Active
VH-0109,WH-BLR-01,South India,32-ft Truck,800,7,10,1760,673,84.1,19,11,13218,0,8.6,548.5,Active
VH-0110,WH-BLR-01,South India,32-ft Truck,800,1,23,2507,743,92.9,25,5,2292,1,5.5,1221.6,Active
VH-0111,WH-BLR-01,South India,32-ft Truck,800,6,11,1419,479,59.9,23,7,19355,0,6.2,613.4,Active
VH-0112,WH-BLR-01,South India,32-ft Truck,800,7,11,1441,720,90.0,27,3,11245,1,7.8,495.1,Active
VH-0113,WH-BLR-01,South India,32-ft Truck,800,9,23,6509,660,82.5,20,10,34432,2,6.7,2603.6,In Repair
VH-0114,WH-BLR-01,South India,32-ft Truck,800,8,10,1450,479,59.9,25,5,27199,0,8.1,479.8,Active
VH-0115,WH-BLR-01,South India,20-ft Truck,500,6,24,6984,412,82.4,18,12,11820,3,6.1,3068.4,In Repair
VH-0116,WH-BLR-01,South India,20-ft Truck,500,4,27,8262,317,63.4,21,9,10834,1,6.0,3690.4,Active
VH-0117,WH-BLR-01,South India,20-ft Truck,500,9,8,656,425,85.0,18,12,19678,1,7.5,234.4,Active
VH-0118,WH-BLR-01,South India,20-ft Truck,500,3,23,6325,314,62.8,28,2,9644,1,4.6,3685.0,Active
VH-0119,WH-BLR-01,South India,20-ft Truck,500,6,11,1672,452,90.4,26,4,11457,1,7.0,640.1,Active
VH-0120,WH-BLR-01,South India,20-ft Truck,500,7,14,3976,352,70.4,28,2,22721,1,8.1,1315.5,Active
VH-0121,WH-BLR-01,South India,20-ft Truck,500,1,13,2626,413,82.6,19,11,2977,0,7.7,914.0,Active
VH-0122,WH-BLR-01,South India,20-ft Truck,500,3,10,2780,298,59.6,28,2,9320,0,8.5,876.5,Active
VH-0123,WH-BLR-01,South India,20-ft Truck,500,7,17,5882,463,92.6,20,10,24796,0,6.5,2425.2,Active
VH-0124,WH-BLR-01,South India,20-ft Truck,500,3,15,3270,377,75.4,25,5,7190,0,8.2,1068.7,Active
VH-0125,WH-BLR-01,South India,Mini Truck (14-ft),250,4,21,3297,233,93.2,20,10,7558,1,5.7,1550.2,Active
VH-0126,WH-BLR-01,South India,Mini Truck (14-ft),250,1,14,1624,175,70.0,23,7,1594,0,5.0,870.5,Active
VH-0127,WH-BLR-01,South India,Mini Truck (14-ft),250,8,14,1904,217,86.8,22,8,26091,0,5.8,879.8,Active
VH-0128,WH-BLR-01,South India,Mini Truck (14-ft),250,7,24,4512,167,66.8,25,5,12402,1,7.7,1570.4,Active
VH-0129,WH-BLR-01,South India,Mini Truck (14-ft),250,6,16,5504,186,74.4,25,5,13487,3,8.3,1777.2,In Repair
VH-0130,WH-BLR-01,South India,Mini Truck (14-ft),250,3,9,2583,197,78.8,25,5,6218,1,5.8,1193.5,Active
VH-0131,WH-BLR-01,South India,Mini Truck (14-ft),250,1,17,3264,155,62.0,28,2,1794,1,9.0,971.9,Active
VH-0132,WH-BLR-01,South India,Mini Truck (14-ft),250,6,18,5022,220,88.0,23,7,23399,2,6.1,2206.4,In Repair
VH-0133,WH-BLR-01,South India,Mini Truck (14-ft),250,6,23,7314,144,57.6,25,5,19542,2,4.8,4083.7,In Repair
VH-0134,WH-BLR-01,South India,Mini Truck (14-ft),250,4,26,5148,208,83.2,22,8,15554,0,9.1,1516.1,Active
VH-0135,WH-BLR-01,South India,Mini Truck (14-ft),250,9,15,2940,177,70.8,28,2,21943,3,6.4,1231.1,In Repair
VH-0136,WH-BLR-01,South India,Mini Truck (14-ft),250,1,9,1710,202,80.8,21,9,3587,0,4.9,935.3,Active
VH-0137,WH-BLR-01,South India,Mini Truck (14-ft),250,4,24,2736,219,87.6,20,10,15602,1,9.2,797.0,Active
VH-0138,WH-BLR-01,South India,Mini Truck (14-ft),250,9,20,2580,187,74.8,21,9,13717,1,8.4,823.1,Active
VH-0139,WH-BLR-01,South India,Mini Truck (14-ft),250,4,22,4444,192,76.8,23,7,11193,1,5.3,2247.2,Active
VH-0140,WH-BLR-01,South India,Tata Ace,120,3,27,6345,99,82.5,27,3,10965,0,7.7,2208.4,Active
VH-0141,WH-BLR-01,South India,Tata Ace,120,1,10,1550,88,73.3,27,3,2589,1,4.8,865.4,Active
VH-0142,WH-BLR-01,South India,Tata Ace,120,8,12,3792,101,84.2,27,3,25278,0,6.2,1639.1,Active
VH-0143,WH-BLR-01,South India,Tata Ace,120,6,10,910,71,59.2,19,11,23263,1,7.6,320.9,Active
VH-0144,WH-BLR-01,South India,Tata Ace,120,3,11,1155,111,92.5,19,11,10800,0,8.8,351.8,Active
VH-0145,WH-BLR-01,South India,Tata Ace,120,1,17,1377,88,73.3,26,4,3091,0,4.6,802.3,Active
VH-0146,WH-BLR-01,South India,Tata Ace,120,7,12,1164,111,92.5,18,12,20849,3,9.5,328.4,In Repair
VH-0147,WH-BLR-01,South India,Tata Ace,120,9,24,6528,88,73.3,28,2,34090,1,7.4,2364.2,Active
VH-0148,WH-BLR-01,South India,Tata Ace,120,7,23,4922,110,91.7,27,3,10972,2,9.4,1403.3,In Repair
VH-0149,WH-BLR-01,South India,Tata Ace,120,4,28,6524,108,90.0,20,10,6830,1,8.6,2033.1,Active
VH-0150,WH-BLR-01,South India,Tata Ace,120,3,23,3657,82,68.3,19,11,4658,0,7.7,1272.8,Active
VH-0151,WH-BLR-01,South India,Tata Ace,120,5,14,1302,104,86.7,19,11,7894,0,8.1,430.8,Active
VH-0152,WH-BLR-01,South India,Tempo,80,4,28,7224,61,76.2,26,4,9211,1,7.4,2616.3,Active
VH-0153,WH-BLR-01,South India,Tempo,80,9,28,6048,75,93.8,25,5,35556,0,8.9,1821.2,Active
VH-0154,WH-BLR-01,South India,Tempo,80,2,28,4284,53,66.2,28,2,4718,1,8.4,1366.8,Active
VH-0155,WH-BLR-01,South India,Tempo,80,8,19,4807,70,87.5,23,7,15590,1,7.2,1789.3,Active
VH-0156,WH-BLR-01,South India,Tempo,80,8,21,6636,44,55.0,22,8,15248,1,7.6,2340.1,Active
VH-0157,WH-BLR-01,South India,Tempo,80,4,16,5472,51,63.7,28,2,12649,0,8.3,1766.9,Active
VH-0158,WH-BLR-01,South India,Tempo,80,6,19,4085,68,85.0,19,11,12537,3,6.8,1610.0,In Repair
VH-0159,WH-BLR-01,South India,Tempo,80,8,19,4788,46,57.5,23,7,13899,0,9.5,1350.7,Active
VH-0160,WH-KOL-01,East India,32-ft Truck,800,4,21,7098,592,74.0,23,7,6250,1,7.6,2503.0,Active
VH-0161,WH-KOL-01,East India,32-ft Truck,800,5,13,4251,453,56.6,19,11,9069,0,8.1,1406.5,Active
VH-0162,WH-KOL-01,East India,32-ft Truck,800,9,19,2204,592,74.0,18,12,19623,2,7.7,767.1,In Repair
VH-0163,WH-KOL-01,East India,32-ft Truck,800,8,28,9632,688,86.0,25,5,24234,1,6.3,4097.4,Active
VH-0164,WH-KOL-01,East India,32-ft Truck,800,8,28,2800,464,58.0,26,4,21647,0,8.7,862.5,Active
VH-0165,WH-KOL-01,East India,32-ft Truck,800,2,22,6886,578,72.2,24,6,6021,0,7.5,2460.6,Active
VH-0166,WH-KOL-01,East India,32-ft Truck,800,9,28,6692,706,88.2,24,6,14214,2,9.4,1907.9,In Repair
VH-0167,WH-KOL-01,East India,32-ft Truck,800,1,16,1792,720,90.0,26,4,3522,1,7.7,623.7,Active
VH-0168,WH-KOL-01,East India,20-ft Truck,500,6,9,1800,416,83.2,18,12,10373,2,8.0,603.0,In Repair
VH-0169,WH-KOL-01,East India,20-ft Truck,500,7,10,3270,321,64.2,24,6,20105,1,7.1,1234.3,Active
VH-0170,WH-KOL-01,East India,20-ft Truck,500,3,19,4313,332,66.4,21,9,10055,0,7.9,1463.1,Active
VH-0171,WH-KOL-01,East India,20-ft Truck,500,2,28,8988,353,70.6,21,9,6376,1,5.4,4460.7,Active
VH-0172,WH-KOL-01,East India,20-ft Truck,500,4,27,6210,315,63.0,24,6,14937,1,9.5,1751.9,Active
VH-0173,WH-KOL-01,East India,20-ft Truck,500,3,8,2120,422,84.4,27,3,4578,0,7.5,757.5,Active
VH-0174,WH-KOL-01,East India,20-ft Truck,500,7,19,4180,290,58.0,18,12,26351,1,8.7,1287.6,Active
VH-0175,WH-KOL-01,East India,20-ft Truck,500,8,24,7224,378,75.6,26,4,18713,1,8.4,2304.8,Active
VH-0176,WH-KOL-01,East India,20-ft Truck,500,3,18,3276,406,81.2,19,11,10416,0,4.7,1868.0,Active
VH-0177,WH-KOL-01,East India,20-ft Truck,500,5,23,2162,429,85.8,23,7,9021,1,7.7,752.5,Active
VH-0178,WH-KOL-01,East India,Mini Truck (14-ft),250,2,10,3020,209,83.6,23,7,6583,1,5.6,1445.3,Active
VH-0179,WH-KOL-01,East India,Mini Truck (14-ft),250,7,18,3204,160,64.0,26,4,14329,0,4.9,1752.4,Active
VH-0180,WH-KOL-01,East India,Mini Truck (14-ft),250,3,20,3620,147,58.8,23,7,8715,1,6.2,1564.8,Active
VH-0181,WH-KOL-01,East India,Mini Truck (14-ft),250,3,11,2167,227,90.8,26,4,8183,1,8.0,725.9,Active
VH-0182,WH-KOL-01,East India,Mini Truck (14-ft),250,6,13,1456,208,83.2,28,2,22763,1,4.7,830.2,Active
VH-0183,WH-KOL-01,East India,Mini Truck (14-ft),250,9,21,2961,187,74.8,21,9,19101,2,8.3,956.1,In Repair
VH-0184,WH-KOL-01,East India,Mini Truck (14-ft),250,5,10,3150,212,84.8,20,10,14341,0,5.9,1430.8,Active
VH-0185,WH-KOL-01,East India,Mini Truck (14-ft),250,5,22,3278,163,65.2,28,2,14823,0,9.0,976.1,Active
VH-0186,WH-KOL-01,East India,Mini Truck (14-ft),250,8,21,2604,172,68.8,23,7,20201,0,6.6,1057.4,Active
VH-0187,WH-KOL-01,East India,Mini Truck (14-ft),250,2,15,5190,235,94.0,22,8,3294,1,7.3,1905.4,Active
VH-0188,WH-KOL-01,East India,Mini Truck (14-ft),250,9,20,2040,210,84.0,19,11,14501,2,8.1,675.0,In Repair
VH-0189,WH-KOL-01,East India,Mini Truck (14-ft),250,3,26,5564,151,60.4,23,7,5987,0,8.1,1840.9,Active
VH-0190,WH-KOL-01,East India,Mini Truck (14-ft),250,2,16,1696,178,71.2,18,12,4423,0,6.8,668.4,Active
VH-0191,WH-KOL-01,East India,Mini Truck (14-ft),250,5,28,7252,144,57.6,22,8,10065,1,8.9,2183.7,Active
VH-0192,WH-KOL-01,East India,Mini Truck (14-ft),250,1,26,2574,202,80.8,28,2,3068,0,8.3,831.1,Active
VH-0193,WH-KOL-01,East India,Tata Ace,120,8,24,2352,71,59.2,19,11,21893,3,6.4,984.9,In Repair
VH-0194,WH-KOL-01,East India,Tata Ace,120,4,26,4264,97,80.8,24,6,10583,0,5.3,2156.1,Active
VH-0195,WH-KOL-01,East India,Tata Ace,120,5,17,2414,114,95.0,23,7,11576,0,6.8,951.4,Active
VH-0196,WH-KOL-01,East India,Tata Ace,120,8,11,2706,107,89.2,22,8,26161,2,5.1,1422.0,In Repair
VH-0197,WH-KOL-01,East India,Tata Ace,120,6,19,3648,78,65.0,23,7,15064,0,6.8,1437.7,Active
VH-0198,WH-KOL-01,East India,Tata Ace,120,5,19,4427,100,83.3,20,10,15752,1,8.0,1483.0,Active
VH-0199,WH-KOL-01,East India,Tata Ace,120,4,17,3621,66,55.0,24,6,12574,1,6.6,1470.3,Active
VH-0200,WH-KOL-01,East India,Tata Ace,120,7,26,5382,68,56.7,27,3,21586,1,8.5,1696.9,Active
VH-0201,WH-KOL-01,East India,Tata Ace,120,2,27,8883,75,62.5,18,12,3917,1,8.3,2868.2,Active
VH-0202,WH-KOL-01,East India,Tata Ace,120,3,19,2033,86,71.7,28,2,8181,1,9.5,573.5,Active
VH-0203,WH-KOL-01,East India,Tata Ace,120,1,15,4845,79,65.8,22,8,2608,1,5.4,2404.6,Active
VH-0204,WH-KOL-01,East India,Tata Ace,120,5,18,2934,111,92.5,21,9,8223,1,9.1,864.1,Active
VH-0205,WH-KOL-01,East India,Tempo,80,2,17,3808,72,90.0,19,11,5013,0,5.4,1889.9,Active
VH-0206,WH-KOL-01,East India,Tempo,80,7,22,6138,67,83.8,26,4,27229,3,8.0,2056.2,In Repair
VH-0207,WH-KOL-01,East India,Tempo,80,3,11,3201,47,58.8,21,9,4783,1,9.4,912.6,Active
VH-0208,WH-KOL-01,East India,Tempo,80,1,17,5661,66,82.5,23,7,3681,0,5.8,2615.8,Active
VH-0209,WH-KOL-01,East India,Tempo,80,9,28,4676,58,72.5,24,6,33296,2,5.7,2198.5,In Repair
VH-0210,WH-KOL-01,East India,Tempo,80,9,20,2920,53,66.2,18,12,33218,2,5.3,1476.5,In Repair
VH-0211,WH-KOL-01,East India,Tempo,80,3,19,4275,71,88.8,18,12,5554,0,7.7,1487.9,Active
VH-0212,WH-KOL-01,East India,Tempo,80,1,18,1512,57,71.2,19,11,2976,1,7.0,578.9,Active
VH-0213,WH-HYD-01,South India,32-ft Truck,800,4,18,1998,566,70.8,20,10,11495,1,8.0,669.3,Active
VH-0214,WH-HYD-01,South India,32-ft Truck,800,1,22,5126,552,69.0,24,6,1816,0,7.4,1856.4,Active
VH-0215,WH-HYD-01,South India,32-ft Truck,800,7,15,3435,591,73.9,27,3,14435,3,9.1,1011.6,In Repair
VH-0216,WH-HYD-01,South India,32-ft Truck,800,4,18,3474,605,75.6,27,3,10160,1,8.2,1135.4,Active
VH-0217,WH-HYD-01,South India,32-ft Truck,800,1,19,4617,681,85.1,23,7,3507,0,5.8,2133.4,Active
VH-0218,WH-HYD-01,South India,32-ft Truck,800,3,12,4080,586,73.2,24,6,4808,1,5.0,2186.9,Active
